ticker,sector
ADBE,Technology
ADP,Industrials
AMD,Technology
ABNB,Consumer Discretionary
ALNY,Healthcare
GOOG,Communication Services
AMZN,Consumer Discretionary
AZN,Healthcare
TEAM,Technology
ADSK,Technology
CMCSA,Communication Services
CEG,Utilities
CPRT,Industrials
COST,Consumer Staples
CRWD,Technology
CSX,Industrials
DDOG,Technology
DXCM,Healthcare
FANG,Energy
DLTR,Consumer Discretionary
EA,Communication Services
EXC,Utilities
FAST,Industrials
FTNT,Technology
GEHC,Healthcare
NFLX,Communication Services
NVDA,Technology
