ticker,sector
ADBE,Technology
ADP,Industrials
AMD,Technology
ABNB,Consumer Discretionary
ALNY,Healthcare
GOOGL,Communication Services
GOOG,Communication Services
AMZN,Consumer Discretionary
AEP,Utilities
AMGN,Healthcare
ADI,Technology
ANSS,Technology
AAPL,Technology
AMAT,Technology
ASML,Technology
AZN,Healthcare
TEAM,Technology
ADSK,Technology
AXON,Industrials
BIIB,Healthcare
BKNG,Consumer Discretionary
AVGO,Technology
CDNS,Technology
CDW,Technology
CHTR,Communication Services
CTAS,Industrials
CSCO,Technology
CTSH,Technology
CMCSA,Communication Services
CEG,Utilities
CPRT,Industrials
COST,Consumer Staples
CRWD,Technology
CSX,Industrials
DDOG,Technology
DXCM,Healthcare
FANG,Energy
DLTR,Consumer Discretionary
EA,Communication Services
EXC,Utilities
FAST,Industrials
FTNT,Technology
GEHC,Healthcare
GILD,Healthcare
HON,Industrials
IDXX,Healthcare
ILMN,Healthcare
INTC,Technology
INTU,Technology
ISRG,Healthcare
KDP,Consumer Staples
KLAC,Technology
KHC,Consumer Staples
LRCX,Technology
LULU,Consumer Discretionary
MAR,Consumer Discretionary
MRVL,Technology
MELI,Consumer Discretionary
META,Communication Services
MCHP,Technology
MU,Technology
MSFT,Technology
MRNA,Healthcare
MDLZ,Consumer Staples
MNST,Consumer Staples
NFLX,Communication Services
NVDA,Technology
NXPI,Technology
ORLY,Consumer Discretionary
ODFL,Industrials
ON,Technology
PCAR,Industrials
PANW,Technology
PAYX,Industrials
PYPL,Financials
PEP,Consumer Staples
PDD,Consumer Discretionary
QCOM,Technology
REGN,Healthcare
ROST,Consumer Discretionary
SIRI,Communication Services
SNPS,Technology
SBUX,Consumer Discretionary
SWKS,Technology
TTWO,Communication Services
TSLA,Consumer Discretionary
TXN,Technology
TMUS,Communication Services
VRTX,Healthcare
WBA,Consumer Staples
WBD,Communication Services
WDAY,Technology
XEL,Utilities
ZS,Technology
