ticker,sector
NVDA,Information Technology
MSFT,Information Technology
AAPL,Information Technology
AMZN,Consumer Discretionary
META,Communication Services
AVGO,Information Technology
GOOGL,Communication Services
GOOG,Communication Services
BRK-B,Financials
TSLA,Consumer Discretionary
JPM,Financials
WMT,Consumer Staples
ORCL,Information Technology
LLY,Health Care
V,Financials
MA,Financials
NFLX,Communication Services
XOM,Energy
COST,Consumer Staples
JNJ,Health Care
PLTR,Information Technology
ABBV,Health Care
HD,Consumer Discretionary
BAC,Financials
AMD,Information Technology
PG,Consumer Staples
UNH,Health Care
GE,Industrials
CVX,Energy
KO,Consumer Staples
CSCO,Information Technology
IBM,Information Technology
WFC,Financials
TMUS,Communication Services
MS,Financials
CRM,Information Technology
AXP,Financials
PM,Consumer Staples
CAT,Industrials
RTX,Industrials
GS,Financials
ABT,Health Care
MCD,Consumer Discretionary
MRK,Health Care
MU,Information Technology
TMO,Health Care
LIN,Materials
PEP,Consumer Staples
DIS,Communication Services
NOW,Information Technology
